,0
0,0.26666082124418905
1,-0.2633610438513052
2,-0.40517933163368297
3,0.09400633183003117
4,-0.29854887863318574
5,0.06575513808371111
6,0.35168850518167716
7,0.3458775676606743
8,0.2171213089480187
9,0.291675191730872
10,0.10570738897879811
11,0.7822855236683136
12,-0.12000972089138907
13,0.12975756022172352
14,0.038270550686079145
15,-0.13455120467905246
16,-0.2325148922006226
17,-0.3028512853124135
18,0.3382023230770637
19,-0.2682287629319977
20,-0.696333580102387
21,0.5846317003557941
22,0.22864189991419712
23,-0.15150191546363362
24,-0.12267552793549213
25,-0.32529951693616244
26,-0.266714188759135
27,0.29766266622514576
28,-0.6719930747699119
29,0.49212005201125836
30,0.03168525864781849
31,0.004277099884917047
32,0.016241737954337865
33,-0.46909724661960317
34,-1.2147784260610976
35,-1.080791968739484
36,-0.46109608287181203
37,-0.2567068991818171
38,-0.26131417656330624
39,-0.5573954059303783
40,-0.4657828751551991
41,0.09605423368698897
42,-0.4143293400247542
43,-0.1079614222020681
44,0.47971104968121014
45,0.07674770436642314
46,0.0956700578688526
47,0.39124767071301875
48,-0.11586362637645083
49,0.7381435078488556
50,0.15337618462605293
51,0.10371956149303119
52,-0.5991775162515406
53,-0.29982186507314507
54,-0.0474591317638523
55,0.39527865706738313
56,0.2669954187903599
57,0.152187028938194
58,0.28099053458925605
59,0.15944984487655595
60,0.08217034827232449
61,-0.198294282571591
62,-0.4764519093454259
63,0.9595456367134939
64,-0.01220542100003913
65,-0.02566825929016172
66,-0.39528735190241526
67,-0.16314715340995303
68,0.2852502465415449
69,0.016202901180646934
70,0.07363726757125033
71,-0.35131470197922204
72,0.0407249477175451
73,-0.4546971549419989
74,0.23513987227137625
75,0.0063704589700371355
76,-0.07186022627803794
77,-1.0513199864241982
78,0.4880085404340666
79,-0.6285028453546935
80,0.026135081910345824
81,-0.03813908014996862
82,0.40327583038245496
83,-0.71591950562384
84,-0.5354586825300575
85,0.10081777516985958
86,0.41962218165086923
87,0.06825214268606261
88,0.12796922980274822
89,-0.5634600588515489
90,0.05038384542117327
91,0.028721904854438512
92,0.011613438700078945
93,-0.4328946779116724
94,0.33565702366691647
95,0.365628327231193
96,-0.014779023239085726
97,0.6134778823052549
98,0.19817015879633634
99,0.38564199857433956
100,-0.03865066379583263
101,-0.36837278439643745
102,-1.0386639395636368
103,-0.6711105591352362
104,-0.979192006013243
105,-0.5179893939312674
106,-0.016398517044083474
107,-0.552869514904571
108,-0.06381191449492317
109,-0.8863829467943769
110,-0.14696815400335106
111,-1.0609017326565429
112,0.2714965522831332
113,0.7583203670367963
114,0.13641230498941223
115,0.0337293887691474
116,0.10403367763152133
117,-0.4446716467320068
118,0.5466046635159487
119,-1.1441640436982123
120,-0.1732337220366585
121,-1.1475001883823182
122,-0.29005754779285753
123,0.3221778432187692
124,-0.0019267031226878825
125,0.1246549919977339
126,0.8707149945990861
127,-0.0888976757715232
128,0.15675757527932885
129,-0.8457022353044329
130,0.05861992434970491
131,0.5786462922637446
132,0.24358374058735094
133,0.6409042281268414
134,0.31043747018092566
135,0.34169213209086524
136,0.09682851657411212
137,-0.9892698412976837
138,-0.5711262174786007
139,-0.37879864142534936
140,-0.05804690495337976
141,-0.3584634071421507
142,0.12487092387086268
143,0.05038776210392367
144,-0.6917318627159363
145,-0.5570585951045194
146,0.10842841209896881
147,-0.22980928718834273
148,-0.4172288411956064
149,0.10471441463424648
150,-0.08643280755554794
151,0.10665162401543615
152,0.11337709536811619
153,0.27586883203741575
154,-0.48693579671148146
155,0.23028879377030295
156,0.15271796017912995
157,-0.9930212381934375
158,-0.17291291496876482
159,-0.03745471554373807
160,-0.013049190036298022
161,-0.05481672335613333
162,0.024849589824965337
163,0.0701576828805153
164,0.3482968071289244
165,0.6140377435766315
166,-0.46075537306600334
167,0.37342665784453416
168,0.8943715275276841
169,0.30824920328287164
170,0.18564488323806094
171,0.7205688434777527
172,0.412786952772629
173,0.4826608312958163
174,0.23946780621435215
175,0.27120810992802563
176,0.1519896892199692
177,0.6436962328116881
178,0.3192266904038758
179,0.13415504513871446
180,0.36100351977942213
181,0.3001791483903839
182,0.3365799560669134
183,-0.12384469421066603
184,0.5444671012527648
185,0.21133279279084616
186,0.3183185876162226
187,0.05095990216424414
188,0.43338958790684895
189,0.661218028653308
190,0.5009712220318016
191,0.27526525911725447
192,0.3033612172586673
193,0.27221825759561324
194,0.37995588273999814
195,0.1501790263830031
196,0.49082546839222696
197,0.46237504738676877
198,0.5824887686331033
199,-0.048816298407108334
200,0.0015936933626491956
201,0.3805761290610844
202,0.4578182013394328
203,0.17685436323661222
204,0.5255588895099277
205,-0.2184942116243022
206,0.1272688084985241
207,0.33571989966707383
208,0.4126508335506692
209,0.5292577753928144
210,0.42343415374290094
211,0.11067847694585803
212,0.4527070395816294
213,-0.1867337489578667
214,-0.053381281496234625
215,0.3673197649432712
216,-0.17548391388675397
217,-0.0611157467714214
218,-0.4566800490911526
219,-0.1966595467659491
220,0.14182706086350944
221,0.2135798664097434
222,0.5235152115615279
223,0.07703171101832966
224,-0.5428239355578633
225,-0.2776010140827725
226,-0.23225903096281522
227,0.08639866609984755
228,-0.4062485282562724
229,-0.34643208533221603
230,-0.8743916543518224
231,-0.34693774370378727
232,-0.3856420129835479
